Occupation,Category,All_workers,M_workers,M_weekly,F_workers,F_weekly
Chief executives,MANAGEMENT,1046.0,763.0,2251.0,283.0,1836.0
General and operations managers,MANAGEMENT,823.0,621.0,1347.0,202.0,1002.0
Marketing and sales managers,MANAGEMENT,948.0,570.0,1603.0,378.0,1258.0
Administrative services managers,MANAGEMENT,170.0,96.0,1451.0,73.0,981.0
Computer and information systems managers,MANAGEMENT,636.0,466.0,1817.0,169.0,1563.0
Financial managers,MANAGEMENT,1124.0,551.0,1732.0,573.0,1130.0
Human resources managers,MANAGEMENT,254.0,68.0,1495.0,186.0,1274.0
"Transportation, storage, and distribution managers",MANAGEMENT,276.0,224.0,1006.0,52.0,749.0
Education administrators,MANAGEMENT,778.0,282.0,1585.0,496.0,1252.0
Food service managers,MANAGEMENT,763.0,389.0,820.0,374.0,680.0
Lodging managers,MANAGEMENT,123.0,54.0,1171.0,68.0,902.0
Medical and health services managers,MANAGEMENT,592.0,154.0,1422.0,438.0,1156.0
"Property, real estate, and community association managers",MANAGEMENT,401.0,171.0,1137.0,230.0,823.0
Social and community service managers,MANAGEMENT,305.0,105.0,1142.0,200.0,965.0
"Managers, all other",MANAGEMENT,2803.0,1717.0,1525.0,1085.0,1213.0
"Wholesale and retail buyers, except farm products",BUSINESS,142.0,73.0,886.0,69.0,985.0
"Purchasing agents, except wholesale, retail, and farm products",BUSINESS,260.0,136.0,1020.0,124.0,986.0
"Claims adjusters, appraisers, examiners, and investigators",BUSINESS,317.0,141.0,1134.0,176.0,824.0
Compliance officers,BUSINESS,235.0,126.0,1375.0,109.0,1025.0
Human resources workers,BUSINESS,592.0,151.0,1158.0,441.0,984.0
Logisticians,BUSINESS,111.0,66.0,1075.0,44.0,Na
Management analysts,BUSINESS,529.0,291.0,1519.0,237.0,1348.0
"Meeting, convention, and event planners",BUSINESS,117.0,27.0,Na,90.0,840.0
Fundraisers,BUSINESS,62.0,14.0,Na,48.0,Na
Market research analysts and marketing specialists,BUSINESS,203.0,85.0,1411.0,118.0,1239.0
"Business operations specialists, all other",BUSINESS,186.0,74.0,1461.0,112.0,969.0
Accountants and auditors,BUSINESS,1464.0,618.0,1345.0,846.0,988.0
Appraisers and assessors of real estate,BUSINESS,42.0,21.0,Na,21.0,Na
